Colonne1	Colonne2
text	sentiment
RV tous les samedis!! Un programme qui en vaut bien la peine ?? @TF1 #thevoice #France ???? https://t.co/Ivn8C04FEM	positive
#NTX #TheVoice La saison 7 dans un instant sur @TF1 @TheVoice_TF1 https://t.co/c9Q3EHFZrY	zero
?? yeaaaaah ????\n#TheVoice7 c'est parti ! ?? https://t.co/LcwUaxsAep	positive
Très hâte de voir #TheVoice pour une fois que j'aime les 4 coachs mdr allez du balai PokoraT	positive
Trop coooool y a pas m pokora alors je vais regarder #TheVoice	positive
Pardon #TheVoice mais ce soir il y a #DestinationEurovision. Bisou.  ????	negative
Tous prets pour #TheVoice	
Je n'sais faire que Chanter... pour quelqu'un qui s'en va, pour ne pas cesser de Vivre??\n#TheVoice @nikosaliagas @florentpagny @Zazieonline	
Pour ceux qui veulent pas voir mon spam mutez le #TheVoice	
Heureusement qu il y à #TheVoice pour voir ma @Zazieonline et oui elle me manque ????	
@EmilieginLaura @OurselSylvie Bon sur la route du retour vais louper #TheVoice ????	
Ce soir c'est parti pour #TheVoice ! @TheVoice_TF1	
Ce soir je zappe entre #TheVoice, ça fait plusieurs saisons que j’avais un peu décroché j’espère être surpris puis… https://t.co/gOAYZH48hY	
#DestinationEurovision largement https://t.co/VUozkUFFHV	
C’est la rentrée @nikosaliagas ?\nBen on est là !\n#TheVoice ??	
Hate de voir cette nouvelle saison #TheVoice	
#TheVoice saison 7 démarre maintenant sur TF1! On commente ensemble ? ?????\n@nikosaliagas https://t.co/HbJwQReDeD	
@Linda_anges6off Je pensais à Eurovision mais hmmm j'ai vu un aperçu...alors nan... bonne chance à @LisandroCuxi et… https://t.co/ng7rEVF4f0	
Enfin les samedis soirs comme je les aime avec la team #TheVoice à la tv et sur twitter. Bienvenu @ObispoPascal par… https://t.co/0nPf6rp2Gt	
Il est 9 h et la surprise malgré le compte à rebours #TheVoice ne commence pas à l'heure. Merci @TF1	
Il y a 2 ans, je regardais The Voice avec des étoiles dans les yeux. L'année dernière je me suis vue dans ma télé.… https://t.co/wssGzNKOTr	
Qui regarde ce soir ? #TheVoice	
#TheVoice en replay et #DestinationEurovision en direct !!! TOUS DERRIERE @LisandroCuxi !!!!!	
Ce soir devant #TheVoice avec @nikosaliagas @ObispoPascal @florentpagny @mikasounds et @Zazieonline	
Ce soir là nouvelle saison de the voice j'ai hâte ! #TheVoice #TF1 ?	
Il est 21h02 ?? Ma patience a des limites quand même ?????? @nikosaliagas #TheVoice ?????	
J'espere que #TheVoice va remportez la bataille des audiences ! @TheVoice_TF1	
@ill3ana oui c'est pour quand #thevoice	
"Go, go,  bien sur le maître de cérémonie @nikosaliagas"""	
Hate de voir mon bb Mika #TheVoice	
"Allez c'est partie pour le jonglage entre ""Destination Eurovision"" et ""The Voice"". ?? #DestinationEurovision #TheVoice"	
Quel coach de #TheVoice préférez-vous ? Pascal Obispo ? Zazi ? Florent Pagny ? Mika ?	
C'est parti pour la finale de #DestinationEurovision sur @France2tv !\nOn soutient à fond @LisandroCuxi ce soir !!!… https://t.co/KcSPfoQYuf	
Aller go #TheVoice en espérant que les coachs soient justes cette fois-ci et que l'émission soit moins sexiste.	
#TheVoice faut que ca soit cet émission qui gagne la bataille des audiences ! @TheVoice_TF1	
Ma fille 4A alors maman ca commence quand  the vioice? ?????? #TheVoice	
La différence encore #Eurovision et #TheVoice  bah..c'est que l'un est a l'heure et l'autre fait encore sa pub lol.… https://t.co/UtY9Iu2uXx	
En général, je regarde pas #TheVoice mais là je m'ennuie et c'est la première donc regardons	
Toujours impatiente de voir à chaque fois la nouvelle saison de #TheVoice qui reste une des meilleures émissions ????	
C’est parti pour #TheVoice ???	
Bon ben c'est l'heure de...?This is The VOICE!!!!!!!? ????\n#TheVoice	
WTF J'L'AI VU #TheVoice	
@UpfrontsUSA Quoi pas team #TheVoice ??	
ça commence comme d'hab : 21h04 pub #TheVoice	
Ce soir, au programme : #TheVoice sur TF1 et #AfterTheVoice sur France 2.	
Je vais zapper sur @France2tv pour checker #Eurovision pendant la pub de @TF1 au cours de #TheVoice	
Soirée #TheVoice ??????	
Pour moi, ca sera en replay le début de #TheVoice saison 7! Bonne reprise @nikosaliagas et toute l'équipe de @itvstudiosfr ??	
C'est parti ! Ce soir  #DestinationEurovision2018 et demain replay #TheVoice	
T'ES ARCHI BEAU @ObispoPascal #TheVoice	
Ce soir c’est le retour de #TheVoice ! En attendant de découvrir les nouvelles voix de cette saison, que sont deven… https://t.co/XNZrMtBSwW	
ready pour #TheVoice enfin je suis en pleine lecture	
"La musique 1/2 : ""De sa douce mélodie elle envoûta mon ouïe. De son rythme changeur elle faisait battre mon cœur.""… https://t.co/fQzVpoPOPb"	
"2/3 :  ""Virevoltant de \nnote en note, de noire en blanche, de simple en croche, elle nous accroche. #TheVoice #DestinationEurovision"	
"3/3 : "" Cette magicienne aux doigts de fée ne cesse de composer au rythme de la mesure son flot d’émotions et déver… https://t.co/vSI0ue6FhT"	
Devant #TheVoice mais avec quelques petits coups d’œil à #DestinationEurovision.	
Ça doit faire 10 fois qu'ils nous annoncent #TheVoice. On le SAIT PUISQU'ON ATTEND.	
#TheVoice\nC'est quand vous voulez https://t.co/MSVjpq1WFB	
@ill3ana c'est chiant je voudrai voir #TheVoice	
Plus que quelques minutes avant le lancement officiel de la 7e saison de #TheVoice sur @TF1 avec l'arrivée de… https://t.co/UCFphF2RCf	
Prête pour la nouvelle saison de #TheVoice ??????	
@nikosaliagas bonne chance au meilleur des animateurs qui nous comble de bonheur pour cette nouvelle saison de #TheVoice	
Go pour #TheVoice	
Faut regarder #TheVoice	
Moi je sais pas chanter mais je fais des chansons.\n\nhttps://t.co/Hc6BpvHFBa\n\n#TheVoice	
Les gens qui demandent quel coach on préfère alors qu'on a même pas vu Pascal à l'oeuvre mdrrr  #TheVoice	
Vous êtes prêt pour #TheVoice et pour retrouver @ObispoPascal @florentpagny @Zazieonline @mikasounds \n@TF1 @nikosaliagas ?	
enfin le retour de #TheVoice et surtout le retour de @Zazieonline ???????????????? https://t.co/Cby8CtSblP	
Attention #THEVOICE avec @ObispoPascal @Zazieonline @florentpagny @mikasounds et @nikosaliagas va bientôt commencer ???	
Tonight... #TheVoice is BACK! ?? https://t.co/LP5eKxVfuD @Zazieonline @mikasounds @ObispoPascal @florentpagny by… https://t.co/ehTrdkN9ba	
Deux concours de la chanson ce soir. Quel est votre choix ? #DestinationEurovision #TheVoice	
Ce soir dans @TheVoice_TF1 il y a les formidables copains de @kriillmusic, et ils vont tout déchirer ?????? #TheVoice	
#TheVoice commencera a 21H20 cela commencent a devenir lassent surtout que le #JT est fini depuis 20H35 cherché l'erreur.	
#TheVoice remporté haut la main par les supporters #Verts dans le #Chaudron	
Ça n'a pas encore commencé que je sens déjà qu'obispo va en faire des caisses et que ça va etre ultra relou #TheVoice	
Ce soir #TheVoice ?	
Y a tellement de pub vais en profiter pour aller me brosser les dents mdrr #TheVoice	
?? Pourquoi les coachs de #TheVoice portent-ils toujours les mêmes tenues ? https://t.co/dYf2H6Cw4F… https://t.co/7H6Zp0GTLP	
#thevoice postiché j'suis grave content	
On connaît déjà le grand gagnant de #thevoice : @nikosaliagas !	
Pareil... merci la guerre des chaînes ?? https://t.co/hGF4wBxa4S	
Allez ce soir c'est retour de #TheVoice ?	
On va pas rater ce premier rendez-vous avec @TheVoice_TF1 et le petit nouveau @ObispoPascal !????@TF1 #TheVoice https://t.co/kWgwMiheSg	
Devant #DestinationEurovision et ensuite #TheVoice en replay comme il n’y a pas de #ONPC	
Pareil ! Je vote pour @MadameMonsieur https://t.co/vYb61AL7GU	
Allez !!!!!!c est partie pour #TheVoice ??????	
Avec #lidoledulardon on est prêt pour #thevoice https://t.co/SJtMsTL4zW	
Average #TheVoice	
#TheVoice Bon ils font quoi la	
Merci les filles pour vos messages, oui un peu de musique ce soir avec #TheVoice et le coup de cafard est envolé. Ça va déjà mieux ????	
Parce que je n'ai rien à faire de mon samedi soir, que je suis seul et blasé et que les auditions à l'aveugle sont… https://t.co/nbPtB4VNNn	
Ça doit faire 10 fois qu'ils nous annoncent #TheVoice. On le SAIT PUISQU'ON ATTEND.	
Ce soir c’est #TheVoice ??	
